accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR17192690	SRP350197	new	PRJNA787774	SAMN23843866	BV38	BV38	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	BV38_S29_R1.fastq.gz	BV38_S29_R2.fastq.gz				
SRR17192647	SRP350197	new	PRJNA787774	SAMN23843867	BV39	BV39	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	BV39_S30_R1.fastq.gz	BV39_S30_R2.fastq.gz				
SRR17192636	SRP350197	new	PRJNA787774	SAMN23843868	BV4	BV4	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	BV4_S105_R1.fastq.gz	BV4_S105_R2.fastq.gz				
SRR17192625	SRP350197	new	PRJNA787774	SAMN23843869	BV43	BV43	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	BV43_S31_R1.fastq.gz	BV43_S31_R2.fastq.gz				
SRR17192518	SRP350197	new	PRJNA787774	SAMN23843870	BV5	BV5	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	BV5-redeposit_S149_R1.fastq.gz	BV5-redeposit_S149_R2.fastq.gz				
SRR17192507	SRP350197	new	PRJNA787774	SAMN23843871	BV53	BV53	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	BV53_S32_R1.fastq.gz	BV53_S32_R2.fastq.gz				
SRR17192688	SRP350197	new	PRJNA787774	SAMN23843872	BV6	BV6	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	BV6_S190_R1.fastq.gz	BV6_S190_R2.fastq.gz				
SRR17192677	SRP350197	new	PRJNA787774	SAMN23843873	BV76	BV76	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	BV76_S111_R1.fastq.gz	BV76_S111_R2.fastq.gz				
SRR17192666	SRP350197	new	PRJNA787774	SAMN23843874	BV78	BV78	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	BV78_S106_R1.fastq.gz	BV78_S106_R2.fastq.gz				
SRR17192463	SRP350197	new	PRJNA787774	SAMN23843875	BV85	BV85	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	BV85_S113_R1.fastq.gz	BV85_S113_R2.fastq.gz				
SRR17192451	SRP350197	new	PRJNA787774	SAMN23843876	BV86	BV86	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	BV86_S118_R1.fastq.gz	BV86_S118_R2.fastq.gz				
SRR17192440	SRP350197	new	PRJNA787774	SAMN23843877	CH10	CH10	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH10_S102_R1.fastq.gz	CH10_S102_R2.fastq.gz				
SRR17192429	SRP350197	new	PRJNA787774	SAMN23843878	CH14	CH14	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH14_S138_R1.fastq.gz	CH14_S138_R2.fastq.gz				
SRR17192418	SRP350197	new	PRJNA787774	SAMN23843879	CH15	CH15	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH15_S17_R1.fastq.gz	CH15_S17_R2.fastq.gz				
SRR17192407	SRP350197	new	PRJNA787774	SAMN23843880	CH16	CH16	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH16_S14_R1.fastq.gz	CH16_S14_R2.fastq.gz				
SRR17192492	SRP350197	new	PRJNA787774	SAMN23843881	CH17	CH17	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH17_S139_R1.fastq.gz	CH17_S139_R2.fastq.gz				
SRR17192481	SRP350197	new	PRJNA787774	SAMN23843882	CH19	CH19	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH19_S16_R1.fastq.gz	CH19_S16_R2.fastq.gz				
SRR17192470	SRP350197	new	PRJNA787774	SAMN23843883	CH2	CH2	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH2_S71_R1.fastq.gz	CH2_S71_R2.fastq.gz				
SRR17192395	SRP350197	new	PRJNA787774	SAMN23843884	CH20	CH20	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH20_S15_R1.fastq.gz	CH20_S15_R2.fastq.gz				
SRR17192384	SRP350197	new	PRJNA787774	SAMN23843885	CH21	CH21	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH21_S40_R1.fastq.gz	CH21_S40_R2.fastq.gz				
SRR17192372	SRP350197	new	PRJNA787774	SAMN23843886	CH22	CH22	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH22_S41_R1.fastq.gz	CH22_S41_R2.fastq.gz				
SRR17192617	SRP350197	new	PRJNA787774	SAMN23843887	CH23	CH23	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH23_S42_R1.fastq.gz	CH23_S42_R2.fastq.gz				
SRR17192606	SRP350197	new	PRJNA787774	SAMN23843888	CH25	CH25	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH25_S27_R1.fastq.gz	CH25_S27_R2.fastq.gz				
SRR17192595	SRP350197	new	PRJNA787774	SAMN23843889	CH26	CH26	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH26_S43_R1.fastq.gz	CH26_S43_R2.fastq.gz				
SRR17192360	SRP350197	new	PRJNA787774	SAMN23843890	CH30	CH30	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH30_S39_R1.fastq.gz	CH30_S39_R2.fastq.gz				
SRR17192349	SRP350197	new	PRJNA787774	SAMN23843891	CH31	CH31	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH31_S47_R1.fastq.gz	CH31_S47_R2.fastq.gz				
SRR17192338	SRP350197	new	PRJNA787774	SAMN23843892	CH32	CH32	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH32_S172_R1.fastq.gz	CH32_S172_R2.fastq.gz				
SRR17192295	SRP350197	new	PRJNA787774	SAMN23843893	CH33	CH33	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH33_S174_R1.fastq.gz	CH33_S174_R2.fastq.gz				
SRR17192284	SRP350197	new	PRJNA787774	SAMN23843894	CH35	CH35	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH35_S140_R1.fastq.gz	CH35_S140_R2.fastq.gz				
SRR17192273	SRP350197	new	PRJNA787774	SAMN23843895	CH37	CH37	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH37_S54_R1.fastq.gz	CH37_S54_R2.fastq.gz				
SRR17192325	SRP350197	new	PRJNA787774	SAMN23843896	CH38	CH38	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH38_S34_R1.fastq.gz	CH38_S34_R2.fastq.gz				
SRR17192314	SRP350197	new	PRJNA787774	SAMN23843897	CH39	CH39	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH39_S2_R1.fastq.gz	CH39_S2_R2.fastq.gz				
SRR17192271	SRP350197	new	PRJNA787774	SAMN23843898	CH43	CH43	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH43_S12_R1.fastq.gz	CH43_S12_R2.fastq.gz				
SRR17192260	SRP350197	new	PRJNA787774	SAMN23843899	CH45	CH45	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH45_S13_R1.fastq.gz	CH45_S13_R2.fastq.gz				
SRR17192249	SRP350197	new	PRJNA787774	SAMN23843900	CH46	CH46	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH46_S14_R1.fastq.gz	CH46_S14_R2.fastq.gz				
SRR17192590	SRP350197	new	PRJNA787774	SAMN23843901	CH48	CH48	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH48_S15_R1.fastq.gz	CH48_S15_R2.fastq.gz				
SRR17192579	SRP350197	new	PRJNA787774	SAMN23843902	CH49	CH49	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH49_S16_R1.fastq.gz	CH49_S16_R2.fastq.gz				
SRR17192568	SRP350197	new	PRJNA787774	SAMN23843903	CH54	CH54	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH54_S17_R1.fastq.gz	CH54_S17_R2.fastq.gz				
SRR17192237	SRP350197	new	PRJNA787774	SAMN23843904	CH55	CH55	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH55_S18_R1.fastq.gz	CH55_S18_R2.fastq.gz				
SRR17192226	SRP350197	new	PRJNA787774	SAMN23843905	CH56	CH56	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH56_S19_R1.fastq.gz	CH56_S19_R2.fastq.gz				
SRR17192214	SRP350197	new	PRJNA787774	SAMN23843906	CH57	CH57	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH57_S20_R1.fastq.gz	CH57_S20_R2.fastq.gz				
SRR17192559	SRP350197	new	PRJNA787774	SAMN23843907	CH59	CH59	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH59_S21_R1.fastq.gz	CH59_S21_R2.fastq.gz				
SRR17192558	SRP350197	new	PRJNA787774	SAMN23843908	CH60	CH60	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH60_S22_R1.fastq.gz	CH60_S22_R2.fastq.gz				
SRR17192557	SRP350197	new	PRJNA787774	SAMN23843909	CH62	CH62	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH62_S23_R1.fastq.gz	CH62_S23_R2.fastq.gz				
SRR17192556	SRP350197	new	PRJNA787774	SAMN23843910	CH66	CH66	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH66_S103_R1.fastq.gz	CH66_S103_R2.fastq.gz				
SRR17192555	SRP350197	new	PRJNA787774	SAMN23843911	CH67	CH67	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH66_S152_R1.fastq.gz	CH66_S152_R2.fastq.gz				
SRR17192554	SRP350197	new	PRJNA787774	SAMN23843912	CH7	CH7	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH67_S104_R1.fastq.gz	CH67_S104_R2.fastq.gz				
SRR17192553	SRP350197	new	PRJNA787774	SAMN23843913	CH71	CH71	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH7_S188_R1.fastq.gz	CH7_S188_R2.fastq.gz				
SRR17192552	SRP350197	new	PRJNA787774	SAMN23843914	CH72	CH72	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH71_S2_R1.fastq.gz	CH71_S2_R2.fastq.gz				
SRR17192551	SRP350197	new	PRJNA787774	SAMN23843915	CH74	CH74	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH72_S67_R1.fastq.gz	CH72_S67_R2.fastq.gz				
SRR17192549	SRP350197	new	PRJNA787774	SAMN23843916	CH78	CH78	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH74_S18_R1.fastq.gz	CH74_S18_R2.fastq.gz				
SRR17192548	SRP350197	new	PRJNA787774	SAMN23843917	CH8	CH8	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH78_S137_R1.fastq.gz	CH78_S137_R2.fastq.gz				
SRR17192547	SRP350197	new	PRJNA787774	SAMN23843918	CH81	CH81	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH8_S267_R1.fastq.gz	CH8_S267_R2.fastq.gz				
SRR17192546	SRP350197	new	PRJNA787774	SAMN23843919	CH86	CH86	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH81_S143_R1.fastq.gz	CH81_S143_R2.fastq.gz				
SRR17192545	SRP350197	new	PRJNA787774	SAMN23843920	CH89	CH89	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH86_S93_R1.fastq.gz	CH86_S93_R2.fastq.gz				
SRR17192544	SRP350197	new	PRJNA787774	SAMN23843921	CH90	CH90	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH89_S145_R1.fastq.gz	CH89_S145_R2.fastq.gz				
SRR17192543	SRP350197	new	PRJNA787774	SAMN23843922	CH96	CH96	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH90_S276_R1.fastq.gz	CH90_S276_R2.fastq.gz				
SRR17192542	SRP350197	new	PRJNA787774	SAMN23843923	CH97	CH97	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CH97_S19_R1.fastq.gz	CH97_S19_R2.fastq.gz				
SRR17192541	SRP350197	new	PRJNA787774	SAMN23843924	CN1	CN1	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN1_S196_R1.fastq.gz	CN1_S196_R2.fastq.gz				
SRR17192540	SRP350197	new	PRJNA787774	SAMN23843925	CN12	CN12	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN12_S149_R1.fastq.gz	CN12_S149_R2.fastq.gz				
SRR17192538	SRP350197	new	PRJNA787774	SAMN23843926	CN13	CN13	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN13_S203_R1.fastq.gz	CN13_S203_R2.fastq.gz				
SRR17192537	SRP350197	new	PRJNA787774	SAMN23843927	CN14	CN14	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN14_S198_R1.fastq.gz	CN14_S198_R2.fastq.gz				
SRR17192536	SRP350197	new	PRJNA787774	SAMN23843928	CN15	CN15	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN15_S62_R1.fastq.gz	CN15_S62_R2.fastq.gz				
SRR17192535	SRP350197	new	PRJNA787774	SAMN23843929	CN16	CN16	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN16_S135_R1.fastq.gz	CN16_S135_R2.fastq.gz				
SRR17192534	SRP350197	new	PRJNA787774	SAMN23843930	CN17	CN17	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN17_S147_R1.fastq.gz	CN17_S147_R2.fastq.gz				
SRR17192533	SRP350197	new	PRJNA787774	SAMN23843931	CN18	CN18	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN18_S4_R1.fastq.gz	CN18_S4_R2.fastq.gz				
SRR17192532	SRP350197	new	PRJNA787774	SAMN23843932	CN23	CN23	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN23_S7_R1.fastq.gz	CN23_S7_R2.fastq.gz				
SRR17192531	SRP350197	new	PRJNA787774	SAMN23843933	CN24	CN24	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN24_S20_R1.fastq.gz	CN24_S20_R2.fastq.gz				
SRR17192530	SRP350197	new	PRJNA787774	SAMN23843934	CN25	CN25	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN25_S10_R1.fastq.gz	CN25_S10_R2.fastq.gz				
SRR17192529	SRP350197	new	PRJNA787774	SAMN23843935	CN26	CN26	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN26_S11_R1.fastq.gz	CN26_S11_R2.fastq.gz				
SRR17192207	SRP350197	new	PRJNA787774	SAMN23843936	CN28	CN28	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN28_S5_R1.fastq.gz	CN28_S5_R2.fastq.gz				
SRR17192206	SRP350197	new	PRJNA787774	SAMN23843937	CN29	CN29	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN29_S146_R1.fastq.gz	CN29_S146_R2.fastq.gz				
SRR17192205	SRP350197	new	PRJNA787774	SAMN23843938	CN31	CN31	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN31_S151_R1.fastq.gz	CN31_S151_R2.fastq.gz				
SRR17192204	SRP350197	new	PRJNA787774	SAMN23843939	CN33	CN33	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN33-redeposit_S6_R1.fastq.gz	CN33-redeposit_S6_R2.fastq.gz				
SRR17192203	SRP350197	new	PRJNA787774	SAMN23843940	CN35	CN35	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN35_S53_R1.fastq.gz	CN35_S53_R2.fastq.gz				
SRR17192202	SRP350197	new	PRJNA787774	SAMN23843941	CN36	CN36	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN36_S152_R1.fastq.gz	CN36_S152_R2.fastq.gz				
SRR17192201	SRP350197	new	PRJNA787774	SAMN23843942	CN39	CN39	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN39_S153_R1.fastq.gz	CN39_S153_R2.fastq.gz				
SRR17192200	SRP350197	new	PRJNA787774	SAMN23843943	CN40	CN40	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN40_S154_R1.fastq.gz	CN40_S154_R2.fastq.gz				
SRR17192199	SRP350197	new	PRJNA787774	SAMN23843944	CN44	CN44	WGS of Escherichia coli	WGS	GENOMIC	unspecified	paired	ILLUMINA	NextSeq 500	We used a modified protocol from the DNA Library Prep Kit (Illumina)	fastq	CN44_S123_R1.fastq.gz	CN44_S123_R2.fastq.gz				
