"Sample";"Depth (x)";"Reference coverage (in%)";"Household";"Fokontany";"Host";"phylogroup";"ST";"mdf.A.";"dfrA14";"blaCTX.M.15";"blaTEM.1B";"qnrS1";"tet.A.";"aph.3....Ib";"aph.6..Id";"sul2";"fosA3";"blaCTX.M.14";"blaCTX.M.55";"blaCTX.M.1";"blaCTX.M.27";"dfrA8";"aadA5";"dfrA17";"mph.A.";"blaSHV.13";"dfrA5";"sul1";"aac.3..IId";"dfrB4";"qepA4";"tet.B.";"aadA2";"dfrA1";"dfrA12";"qnrVC4";"fosB1";"aadA1";"erm.B.";"aac.6...Ib.cr";"catB3";"blaOXA.1";"catA1";"blaCMY.48";"blaOXA.48";"aac.3..IIe";"floR";"catB9";"blaCTX.M.124";"blaSHV.12";"aac.3..IIa";"blaTEM.169";"blaTEM.158";"sul3";"cmlA1";"aac.6...Ic";"blaSRT.2";"blaIMP.4";"blaTEM.154";"tet.D.";"blaTEM.1C";"blaTEM.35";"dfrA27";"mef.B.";"ant.3....Ia";"tet.H.";"blaCTX.M.71";"qnrB1";"blaCTX.M.3";"ARR.3";"aadA16";"qnrB6";"ARR.2";"blaOXA.10";"blaTEM.32";"parc";"gyrb"
"H190_S9";"36";"79.8";"37";"Mahalavolona";"Human";"F";"8881";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"H155-redeposit_S10";"24";"80.3";"27";"Belambanana";"Human";"F";"648";"1";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";NA;NA
"CN29_S146";"52.9";"80.2";"23";"Ambohimanala";"Duck";"F";"648";"1";"1";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"H277_S113";"47.4";"79.6";"56";"Morarano";"Human";"F";"648";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"PG200_S8";"59.5";"82.3";"36";"Morarano";"Chicken";"F";"648";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"PG295_S4";"50.8";"80.8";"53";"Morarano";"Chicken";"F";"648";"1";"0";"0";"0";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"CN69_S115";"52.9";"78.9";"57";"Andoaharanofotsy";"Duck";"F";"648";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"H74_S144";"51.3";"79.2";"14";"Morarano";"Human";"F";"648";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"H71_S63";"44.4";"79.1";"14";"Morarano";"Human";"F";"648";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"E71_S158";"50.8";"79.3";"49";"Mahabo";"Water";"D";"973";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"H340_S111";"54";"82.9";"68";"Andoaharanofotsy";"Human";"D";"38";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"H339_S261";"48.4";"83.2";"68";"Andoaharanofotsy";"Human";"D";"38";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"PG253_S5";"47.6";"82.6";"44";"Ambohimanala";"Chicken";"D";"38";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"H172_S149";"44.9";"82.6";"32";"Ambohimanala";"Human";"D";"38";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CH15_S17";"52.8";"81.3";"11";"Morarano";"Dog";"D";"38";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"PC36_S41";"52.7";"81.3";"19";"Volotara";"Pig";"D";"38";"1";"0";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"OI40_S146";"48.8";"80.7";"56";"Morarano";"Goose";"D";"38";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"H32_S204";"45.2";"82.3";"6";"Ambohimanala";"Human";"D";"38";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"CN83-redeposit_S262";"47.4";"85.6";"64";"Andoaharanofotsy";"Duck";"D";"394";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";NA;NA
"H287_S159";"38.7";"84.5";"58";"Mahabo";"Human";"D";"394";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"CH23_S42";"43.3";"79.5";"18";"Volotara";"Dog";"D";"394";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"H99_S143";"51";"79.2";"18";"Volotara";"Human";"D";"394";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"DI4_S60";"45.4";"82";"28";"Mahalavolona";"Turkey";"B2";"131";"1";"0";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";NA;NA
"CN23_S7";"41.8";"74.1";"22";"Morarano";"Duck";"B2";"636";"1";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"H295-redeposit_S8";"26";"78.4";"60";"Andoaharanofotsy";"Human";"B2";"131";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";NA;NA
"CN66_S152";"47.7";"77.3";"57";"Andoaharanofotsy";"Duck";"B2";"131";"1";"0";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"PG85_S13";"44.5";"79.7";"14";"Morarano";"Chicken";"B2";"131";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"H73_S193";"43.5";"76.2";"14";"Morarano";"Human";"B2";"131";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"H97_S47";"51.9";"80.1";"18";"Volotara";"Human";"B2";"131";"1";"0";"1";"1";"0";"1";"1";"1";"1";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"CN68_S153";"45.3";"73.9";"57";"Andoaharanofotsy";"Duck";"B2";"131";"1";"0";"0";"1";"0";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"H164_S148";"43.2";"73.9";"30";"Iavoloha";"Human";"B2";"131";"1";"0";"0";"1";"0";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"H268_S152";"49.1";"75.3";"54";"Mahabo";"Human";"B2";"131";"1";"0";"0";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"CT27_S155";"38.5";"75.4";"29";"Morarano";"Cat";"B2";"131";"1";"0";"0";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"PG121_S50";"50.9";"75.6";"22";"Morarano";"Chicken";"B2";"131";"1";"0";"0";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"PG64_S38";"35.2";"74.9";"10";"Mahalavolona";"Chicken";"B2";"131";"1";"0";"0";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"PG58_S48";"31.9";"74.8";"10";"Mahalavolona";"Chicken";"B2";"131";"1";"0";"0";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"PG63_S171";"51.1";"75.2";"10";"Mahalavolona";"Chicken";"B2";"131";"1";"0";"0";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"PG56-redeposit_S3";"31.5";"74.9";"10";"Mahalavolona";"Chicken";"B2";"131";"1";"0";"0";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";NA;NA
"H29_S189";"28.4";"76";"5";"Iavoloha";"Human";"B2";"131";"1";"0";"0";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"OI15_S109";"40.2";"75.1";"45";"Iavoloha";"Goose";"B2";"131";"1";"0";"0";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
